,tokens,lemma,postag
142,tilapyang|NNC_CCP,tilapyang,NNC_CCP
143,paano|RBQ,paano,RBQ
144,nasalubong|VBTS,nasalubong,VBTS
145,Kampana|NNP,Kampana,NNP
146,sintas|FW,sintas,FW
147,Mukuka|NNP,Mukuka,NNP
148,aalagaan|VBTF,aalagaan,VBTF
149,compare|FW,compare,FW
150,nakagugulat|RBD,nakagugulat,RBD
151,noooo|FW,noooo,FW
152,mo|PRS,mo,PRS
153,Dibuho|NNP,Dibuho,NNP
154,nagpalingon|VBTS,nagpalingon,VBTS
155,ungal|NNC,ungal,NNC
156,produktong|NNC_CCP,produktong,NNC_CCP
157,Sumilip|NNP,Sumilip,NNP
158,Minahal|NNP,Minahal,NNP
159,sunod|RBD,sunod,RBD
160,nakangiting|RBD_CCP,nakangiting,RBD_CCP
161,Tracker|NNP,Tracker,NNP
162,Gabi|RBW,Gabi,RBW
163,Buong|PRI_CCP,Buong,PRI_CCP
164,disc|FW,disc,FW
165,pinaliliguan|VBTS,pinaliliguan,VBTS
166,kartoon|NNC,kartoon,NNC
167,Patakbong|NNP_CCP,Patakbong,NNP_CCP
168,pagkakalat|NNC,pagkakalat,NNC
169,Janaki|NNP,Janaki,NNP
170,nagnenegosyo|VBTR,nagnenegosyo,VBTR
171,nakaranas|VBTS,nakaranas,VBTS
172,Hulihin|VBOF,Hulihin,VBOF
173,Naku|PRS,Naku,PRS
174,sweet|FW,sweet,FW
175,lumulundag|VBTR_VBAF,lumulundag,VBTR_VBAF
176,pagsikat|NNC,pagsikat,NNC
177,Nilunod|VBTS,Nilunod,VBTS
178,nangisda|VBTS,nangisda,VBTS
179,kapayapaan|NNC,kapayapaan,NNC
180,masikip|JJD,masikip,JJD
181,plauta|NNC,plauta,NNC
182,Greyling|NNP,Greyling,NNP
183,Gogo|NNP,Gogo,NNP
184,yuko|RBD,yuko,RBD
185,bumulosok|VBTR_VBAF,bumulosok,VBTR_VBAF
186,lens|NNC,lens,NNC
187,nspaka|FW,nspaka,FW
188,Nasaan|RBD,Nasaan,RBD
189,kayTok|NNP,kayTok,NNP
190,sitio|NNC,sitio,NNC
191,magtiyaga|VBW,magtiyaga,VBW
192,assist|FW,assist,FW
193,Bopha|NNP,Bopha,NNP
194,nakakakita|VBTR,nakakakita,VBTR
195,touchscreen|FW,touchscreen,FW
196,kabababaihan|NNC,kabababaihan,NNC
197,bubuyog|NNC,bubuyog,NNC
198,kapal|NNC,kapal,NNC
199,sampalok|NNC,sampalok,NNC
200,magagagamot|VBTF,magagagamot,VBTF
201,lavender|NNC,lavender,NNC
202,rutangito|NNC,rutangito,NNC
203,singkwenta|JJN,singkwenta,JJN
204,lumiwanag|VBTS_VBAF,lumiwanag,VBTS_VBAF
205,nyo|FW,nyo,FW
206,She|NNP,She,NNP
207,mabasa|VBW,mabasa,VBW
208,ah|FW,ah,FW
209,pilyo|NNC,pilyo,NNC
210,Magkikita|VBTF,Magkikita,VBTF
211,kuliglig|NNC,kuliglig,NNC
212,talbog|JJD,talbog,JJD
213,LEAD|NNPA,LEAD,NNPA
214,Sinubukan|VBOF,Sinubukan,VBOF
215,Ilag|NNP,Ilag,NNP
216,Ilang|PRQ_CCP,Ilang,PRQ_CCP
217,Enero|NNP,Enero,NNP
218,agham|NNC,agham,NNC
219,Ani|NNP,Ani,NNP
220,Ninyo|NNP,Ninyo,NNP
221,Ola|NNP,Ola,NNP
222,Nagmakaawa|VBTS,Nagmakaawa,VBTS
223,Aa|NNP,Aa,NNP
224,masabi|VBW,masabi,VBW
225,should|FW,should,FW
226,Kailangang|VBS_CCP,Kailangang,VBS_CCP
227,Inantay|VBTS,Inantay,VBTS
228,precious|FW,precious,FW
229,dyaket|FW,dyaket,FW
230,Douangkeo|NNP,Douangkeo,NNP
231,Rommuel|NNP,Rommuel,NNP
232,Yogi|NNP,Yogi,NNP
233,Boxes|NNP,Boxes,NNP
234,koshari|NNC,koshari,NNC
235,Rhino|NNC,Rhino,NNC
236,Cheeko|NNP,Cheeko,NNP
237,petrel|FW,petrel,FW
238,evacuation|FW,evacuation,FW
239,patingin|RBD,patingin,RBD
240,niyang|PRS_CCP,niyang,PRS_CCP
241,isulat|VBOF,isulat,VBOF
242,Eline|NNP,Eline,NNP
243,makaramdam|VBW,makaramdam,VBW
244,papa|NNC,papa,NNC
245,Nanghina|VBTS,Nanghina,VBTS
246,Makakain|VBW,Makakain,VBW
247,landas|NNC,landas,NNC
248,napalitan|VBTS,napalitan,VBTS
249,sea|FW,sea,FW
250,Kastila|NNP,Kastila,NNP
251,Hinakot|VBOF,Hinakot,VBOF
252,atdipa|NNC,atdipa,NNC
253,Ibinabaon|VBTS,Ibinabaon,VBTS
254,walang|VBN_CCP,walang,VBN_CCP
255,p|NNCA,p,NNCA
256,Pagkatapos|RBW,Pagkatapos,RBW
257,Tagak|NNP,Tagak,NNP
258,nahuhugas|VBTR,nahuhugas,VBTR
259,sumusulat|VBTR_VBAF,sumusulat,VBTR_VBAF
260,Kumain|VBAF,Kumain,VBAF
261,asteroid|FW,asteroid,FW
262,WepenerAko|NNP,WepenerAko,NNP
263,naglalathala|RBD,naglalathala,RBD
264,makagagawa|VBTF,makagagawa,VBTF
265,nakaimbak|VBTS,nakaimbak,VBTS
266,Joko|NNP,Joko,NNP
267,bubuksan|VBTF,bubuksan,VBTF
268,rely|FW,rely,FW
269,sumulpot|VBAF,sumulpot,VBAF
270,Matapos|VBW,Matapos,VBW
271,Paliliparin|NNP,Paliliparin,NNP
272,Umuulan|NNP,Umuulan,NNP
273,tauhan|NNC,tauhan,NNC
274,Larawan|NNC,Larawan,NNC
275,Sayang|RBS,Sayang,RBS
276,sinulidsa|FW,sinulidsa,FW
277,eto|FW,eto,FW
278,Aayusin|VBTF,Aayusin,VBTF
279,kayang|RBD_CCP,kayang,RBD_CCP
280,taro|NNC,taro,NNC
281,www.bilumbooks.com|FW,www.bilumbooks.com,FW
282,sumabit|VBAF,sumabit,VBAF
283,magbabayad|VBTF,magbabayad,VBTF
284,Krook!krook|NNP,Krook!krook,NNP
285,clickety|FW,clickety,FW
286,kaunlarang|NNC_CCP,kaunlarang,NNC_CCP
287,binuo|VBTS,binuo,VBTS
288,kasuotan|NNC,kasuotan,NNC
289,matiyak|JJD,matiyak,JJD
290,Tongtong|NNP_CCP,Tongtong,NNP_CCP
291,nagpapások|VBTR,nagpapások,VBTR
292,kinagigiliwan|VBOF,kinagigiliwan,VBOF
293,Pahina|NNP,Pahina,NNP
294,matagumpay|JJD,matagumpay,JJD
295,pamaba|NNC,pamaba,NNC
296,makapagpisa|VBW,makapagpisa,VBW
297,Mooooo|NNP,Mooooo,NNP
298,kartero|NNC,kartero,NNC
299,Chenda|NNP,Chenda,NNP
300,Idinulog|VBTS,Idinulog,VBTS
301,napakalayo|JJCS_JJD,napakalayo,JJCS_JJD
302,mabuhol|VBW,mabuhol,VBW
303,anogagawin|VBTF,anogagawin,VBTF
304,putahe|NNC,putahe,NNC
305,Subukin|VBOF,Subukin,VBOF
306,East|NNP,East,NNP
307,paghahanda|NNC,paghahanda,NNC
308,미있는이야기들이한국에많이소개되었으면좋|FW,미있는이야기들이한국에많이소개되었으면좋,FW
309,Nagmadaling|RBD_CCP,Nagmadaling,RBD_CCP
310,magtalaga|VBW,magtalaga,VBW
311,dioxide|FW,dioxide,FW
312,nasara|VBTS,nasara,VBTS
313,winawagayway|VBTR,winawagayway,VBTR
314,magtuloy|VBW,magtuloy,VBW
315,Trun|NNP,Trun,NNP
316,Hiniram|VBOF,Hiniram,VBOF
317,kaibuturan|NNC,kaibuturan,NNC
318,samantalang|CCT_CCP,samantalang,CCT_CCP
319,bright|FW,bright,FW
320,Winawagayway|VBTR,Winawagayway,VBTR
321,alipin|NNC,alipin,NNC
322,nakiisa|VBTS,nakiisa,VBTS
323,ate|FW,ate,FW
324,Pugad|NNC,Pugad,NNC
325,detective|FW,detective,FW
326,Napalilibutan|VBTS,Napalilibutan,VBTS
327,Ginulo|NNP,Ginulo,NNP
328,Andito|RBR,Andito,RBR
329,pagkamangha|NNC,pagkamangha,NNC
330,Espesyal|JJD,Espesyal,JJD
331,unan|NNC,unan,NNC
332,pumagitna|VBAF,pumagitna,VBAF
333,hangerSobrang|JJD_CCP,hangerSobrang,JJD_CCP
334,malaki|JJD,malaki,JJD
335,Marima|NNP,Marima,NNP
336,lanta|FW,lanta,FW
337,kambyo|NNC,kambyo,NNC
338,hanggangikalabintatlong|NNC_CCP,hanggangikalabintatlong,NNC_CCP
339,pastulan|NNC,pastulan,NNC
340,halimaw|NNC,halimaw,NNC
341,sakto|JJD,sakto,JJD
342,simbahan|NNC,simbahan,NNC
343,imbitahan|VBOF,imbitahan,VBOF
344,pailalim|RBD,pailalim,RBD
345,Tagumpay|NNP,Tagumpay,NNP
346,C37|CDB,C37,CDB
347,nagbihis|VBTS,nagbihis,VBTS
348,family|FW,family,FW
349,insektong|NNC_CCP,insektong,NNC_CCP
350,makapuntos|VBW,makapuntos,VBW
351,Kumain|VBTS_VBAF,Kumain,VBTS_VBAF
352,laing|NNC,laing,NNC
353,nakikipag|VBTS,nakikipag,VBTS
354,Trang|RBT,Trang,RBT
355,sinadya|VBOF,sinadya,VBOF
356,Langitngit|NNP,Langitngit,NNP
